PX409-USBH - 535766,
Units:,psi
Custom Scalar:,none
Custom Offset:,none
Start:,2022-07-18 01:32:33.464
End:,2022-07-18 01:34:10.996
Count:,998
Low:,-0.00505375862121582
High:,17.1964225769043

Time,Value
2022-07-18 01:32:43.149 PM,0.00279500335454941
2022-07-18 01:32:43.247 PM,0.0022912509739399
2022-07-18 01:32:43.345 PM,0.00183625146746635
2022-07-18 01:32:43.443 PM,0.00138125196099281
2022-07-18 01:32:43.540 PM,0.000714998692274094
2022-07-18 01:32:43.638 PM,0.00104000046849251
2022-07-18 01:32:43.736 PM,0.00134875252842903
2022-07-18 01:32:43.834 PM,0.00131624937057495
2022-07-18 01:32:43.932 PM,0.00183625146746635
2022-07-18 01:32:44.030 PM,0.00177125260233879
2022-07-18 01:32:44.127 PM,0.00144625082612038
2022-07-18 01:32:44.225 PM,0.00154375284910202
2022-07-18 01:32:44.323 PM,0.00138125196099281
2022-07-18 01:32:44.421 PM,0.00143000110983849
2022-07-18 01:32:44.519 PM,0.00152750313282013
2022-07-18 01:32:44.616 PM,0.00169000029563904
2022-07-18 01:32:44.714 PM,0.00141375139355659
2022-07-18 01:32:44.812 PM,0.00134875252842903
2022-07-18 01:32:44.910 PM,0.00147875025868416
2022-07-18 01:32:45.008 PM,0.000714998692274094
2022-07-18 01:32:45.106 PM,0.00154375284910202
2022-07-18 01:32:45.203 PM,0.00128374993801117
2022-07-18 01:32:45.301 PM,0.00121875107288361
2022-07-18 01:32:45.399 PM,0.002275001257658
2022-07-18 01:32:45.497 PM,0.00290875509381294
2022-07-18 01:32:45.595 PM,0.00357500463724136
2022-07-18 01:32:45.693 PM,0.00417625531554222
2022-07-18 01:32:45.790 PM,0.00385125353932381
2022-07-18 01:32:45.888 PM,0.00313625484704971
2022-07-18 01:32:45.986 PM,0.00338000431656837
2022-07-18 01:32:46.084 PM,0.00316875427961349
2022-07-18 01:32:46.182 PM,0.00326625257730484
2022-07-18 01:32:46.280 PM,0.00338000431656837
2022-07-18 01:32:46.377 PM,0.00297375395894051
2022-07-18 01:32:46.475 PM,0.00277875363826752
2022-07-18 01:32:46.573 PM,0.00269750133156776
2022-07-18 01:32:46.671 PM,0.00209625065326691
2022-07-18 01:32:46.769 PM,0.00204750150442123
2022-07-18 01:32:46.866 PM,0.00273000448942184
2022-07-18 01:32:46.964 PM,0.00302250310778618
2022-07-18 01:32:47.062 PM,0.00394875556230545
2022-07-18 01:32:47.160 PM,0.00437125563621521
2022-07-18 01:32:47.258 PM,0.00424125418066978
2022-07-18 01:32:47.356 PM,0.00399750471115112
2022-07-18 01:32:47.453 PM,0.00399750471115112
2022-07-18 01:32:47.551 PM,0.00359125435352325
2022-07-18 01:32:47.649 PM,0.00346125289797783
2022-07-18 01:32:47.747 PM,0.0033312551677227
2022-07-18 01:32:47.845 PM,0.00216125324368477
2022-07-18 01:32:47.943 PM,0.0022912509739399
2022-07-18 01:32:48.040 PM,0.00195000320672989
2022-07-18 01:32:48.138 PM,0.00266500189900398
2022-07-18 01:32:48.236 PM,0.00407875701785088
2022-07-18 01:32:48.334 PM,0.00430625677108765
2022-07-18 01:32:48.432 PM,0.00503750517964363
2022-07-18 01:32:48.529 PM,0.00463125482201576
2022-07-18 01:32:48.627 PM,0.00396500527858734
2022-07-18 01:32:48.725 PM,0.00380250439047813
2022-07-18 01:32:48.823 PM,0.00312000513076782
2022-07-18 01:32:48.921 PM,0.00286000221967697
2022-07-18 01:32:49.019 PM,0.00289250165224075
2022-07-18 01:32:49.116 PM,0.00273000448942184
2022-07-18 01:32:49.214 PM,0.00232375413179398
2022-07-18 01:32:49.312 PM,0.00235625356435776
2022-07-18 01:32:49.410 PM,0.00240500271320343
2022-07-18 01:32:49.508 PM,0.00214500352740288
2022-07-18 01:32:49.606 PM,0.00269750133156776
2022-07-18 01:32:49.703 PM,0.0028112530708313
2022-07-18 01:32:49.801 PM,0.00287625193595886
2022-07-18 01:32:49.899 PM,0.00323375314474106
2022-07-18 01:32:49.997 PM,0.00313625484704971
2022-07-18 01:32:50.095 PM,0.00302250310778618
2022-07-18 01:32:50.193 PM,0.0029900036752224
2022-07-18 01:32:50.290 PM,0.00336375460028648
2022-07-18 01:32:50.388 PM,0.00365625321865082
2022-07-18 01:32:50.486 PM,0.00365625321865082
2022-07-18 01:32:50.584 PM,0.00303875282406807
2022-07-18 01:32:50.682 PM,0.0127237662672997
2022-07-18 01:32:50.779 PM,0.0183787755668163
2022-07-18 01:32:50.877 PM,0.0359287969768047
2022-07-18 01:32:50.975 PM,0.0682013407349586
2022-07-18 01:32:51.073 PM,0.0939576327800751
2022-07-18 01:32:51.171 PM,0.122736416757107
2022-07-18 01:32:51.269 PM,0.141846433281898
2022-07-18 01:32:51.366 PM,0.14634770154953
2022-07-18 01:32:51.464 PM,0.144706442952156
2022-07-18 01:32:51.562 PM,0.14745269715786
2022-07-18 01:32:51.660 PM,0.147355198860168
2022-07-18 01:32:51.758 PM,0.143081441521645
2022-07-18 01:32:51.856 PM,0.146477699279785
2022-07-18 01:32:51.953 PM,0.143503949046135
2022-07-18 01:32:52.051 PM,0.138417690992355
2022-07-18 01:32:52.149 PM,0.149288952350616
2022-07-18 01:32:52.247 PM,0.146168947219849
2022-07-18 01:32:52.345 PM,0.155886456370354
2022-07-18 01:32:52.443 PM,0.16204522550106
2022-07-18 01:32:52.540 PM,0.154342710971832
2022-07-18 01:32:52.638 PM,0.164287716150284
2022-07-18 01:32:52.736 PM,0.148590192198753
2022-07-18 01:32:52.834 PM,0.154570206999779
2022-07-18 01:32:52.932 PM,0.160647720098495
2022-07-18 01:32:53.029 PM,0.156715214252472
2022-07-18 01:32:53.127 PM,0.170413970947266
2022-07-18 01:32:53.225 PM,0.168626457452774
2022-07-18 01:32:53.323 PM,0.168057709932327
2022-07-18 01:32:53.421 PM,0.174687743186951
2022-07-18 01:32:53.519 PM,0.172006487846375
2022-07-18 01:32:53.616 PM,0.158437713980675
2022-07-18 01:32:53.714 PM,0.160468965768814
2022-07-18 01:32:53.812 PM,0.153448954224586
2022-07-18 01:32:53.910 PM,0.150182694196701
2022-07-18 01:32:54.008 PM,0.163393974304199
2022-07-18 01:32:54.106 PM,0.159412711858749
2022-07-18 01:32:54.203 PM,0.157007709145546
2022-07-18 01:32:54.301 PM,0.16102147102356
2022-07-18 01:32:54.399 PM,0.153838962316513
2022-07-18 01:32:54.497 PM,0.155902713537216
2022-07-18 01:32:54.595 PM,0.153741464018822
2022-07-18 01:32:54.692 PM,0.151515200734138
2022-07-18 01:32:54.790 PM,0.151628956198692
2022-07-18 01:32:54.888 PM,0.14482019841671
2022-07-18 01:32:54.986 PM,0.153822705149651
2022-07-18 01:32:55.084 PM,0.150913953781128
2022-07-18 01:32:55.182 PM,0.12827767431736
2022-07-18 01:32:55.279 PM,0.109833903610706
2022-07-18 01:32:55.377 PM,0.0962651371955872
2022-07-18 01:32:55.475 PM,0.0539500750601292
2022-07-18 01:32:55.573 PM,0.0597838312387466
2022-07-18 01:32:55.671 PM,0.0478563159704208
2022-07-18 01:32:55.769 PM,0.0223275311291218
2022-07-18 01:32:55.866 PM,0.0508138202130795
2022-07-18 01:32:55.964 PM,0.0352625474333763
2022-07-18 01:32:56.062 PM,0.0358150489628315
2022-07-18 01:32:56.160 PM,0.0361075475811958
2022-07-18 01:32:56.258 PM,0.0189312752336264
2022-07-18 01:32:56.356 PM,0.0220512803643942
2022-07-18 01:32:56.453 PM,0.0229612812399864
2022-07-18 01:32:56.551 PM,0.0221325308084488
2022-07-18 01:32:56.649 PM,0.0231400318443775
2022-07-18 01:32:56.747 PM,0.0234487820416689
2022-07-18 01:32:56.845 PM,0.0238875336945057
2022-07-18 01:32:56.942 PM,0.0246025342494249
2022-07-18 01:32:57.040 PM,0.0241962838917971
2022-07-18 01:32:57.138 PM,0.0241962838917971
2022-07-18 01:32:57.236 PM,0.0245050340890884
2022-07-18 01:32:57.334 PM,0.0244725346565247
2022-07-18 01:32:57.432 PM,0.0258375369012356
2022-07-18 01:32:57.529 PM,0.0263575371354818
2022-07-18 01:32:57.627 PM,0.0269425380975008
2022-07-18 01:32:57.725 PM,0.0273975376039743
2022-07-18 01:32:57.823 PM,0.0275275390595198
2022-07-18 01:32:57.921 PM,0.0276412889361382
2022-07-18 01:32:58.019 PM,0.0279175397008657
2022-07-18 01:32:58.116 PM,0.0280312895774841
2022-07-18 01:32:58.214 PM,0.0286650396883488
2022-07-18 01:32:58.312 PM,0.0286487899720669
2022-07-18 01:32:58.410 PM,0.0280312895774841
2022-07-18 01:32:58.508 PM,0.0279987882822752
2022-07-18 01:32:58.605 PM,0.0277387890964746
2022-07-18 01:32:58.703 PM,0.0275762882083654
2022-07-18 01:32:58.801 PM,0.0276087876409292
2022-07-18 01:32:58.899 PM,0.0278362892568111
2022-07-18 01:32:58.997 PM,0.0281937886029482
2022-07-18 01:32:59.095 PM,0.0286000408232212
2022-07-18 01:32:59.192 PM,0.0288600400090218
2022-07-18 01:32:59.290 PM,0.0292500406503677
2022-07-18 01:32:59.388 PM,0.0285837892442942
2022-07-18 01:32:59.486 PM,0.0286650396883488
2022-07-18 01:32:59.584 PM,0.029217541217804
2022-07-18 01:32:59.682 PM,0.0290550403296947
2022-07-18 01:32:59.779 PM,0.0298675410449505
2022-07-18 01:32:59.877 PM,0.029786292463541
2022-07-18 01:32:59.975 PM,0.029575040563941
2022-07-18 01:33:00.073 PM,0.0297050420194864
2022-07-18 01:33:00.171 PM,0.0294775404036045
2022-07-18 01:33:00.269 PM,0.0302250422537327
2022-07-18 01:33:00.366 PM,0.0302900429815054
2022-07-18 01:33:00.464 PM,0.0317037925124168
2022-07-18 01:33:00.562 PM,0.0311187915503979
2022-07-18 01:33:00.660 PM,0.0287625398486853
2022-07-18 01:33:00.758 PM,0.0306637939065695
2022-07-18 01:33:00.855 PM,0.029022540897131
2022-07-18 01:33:00.953 PM,0.0306312926113606
2022-07-18 01:33:01.051 PM,0.0335887931287289
2022-07-18 01:33:01.149 PM,0.0344175472855568
2022-07-18 01:33:01.247 PM,0.0350350476801395
2022-07-18 01:33:01.345 PM,0.0340600460767746
2022-07-18 01:33:01.442 PM,0.0338650457561016
